mjd,ra_deg,dec_deg,EL,elong,r,delta,utc
61007.29166666698,111.13974,9.79775,33.66566,133.3773,17.19627608652,16.5035732922824,2025-Nov-28 07:00
61007.3125,111.13883,9.79773,39.764075,133.3985,17.19639624971,16.5034399379217,2025-Nov-28 07:30
61007.33333333302,111.13791,9.79772,45.684623,133.4198,17.19651641246,16.5033070797533,2025-Nov-28 08:00
61008.25,111.09801,9.79711,22.055323,134.3435,17.20180314254,16.4977126330068,2025-Nov-29 06:00
61008.27083333302,111.09709,9.7971,28.312939,134.3648,17.20192328598,16.4975830952418,2025-Nov-29 06:30
61008.29166666698,111.09616,9.79709,34.507404,134.386,17.20204342897,16.4974539338826,2025-Nov-29 07:00
61008.3125,111.09523,9.79708,40.586232,134.4073,17.20216357153,16.4973252167092,2025-Nov-29 07:30
61008.33333333302,111.09431,9.79707,46.475271,134.4286,17.20228371364,16.4971970055167,2025-Nov-29 08:00
61009.25,111.05372,9.7967,22.914093,135.3516,17.20756953614,16.4918059194687,2025-Nov-30 06:00
61009.27083333302,111.05278,9.7967,29.165653,135.3728,17.20768965896,16.4916810798035,2025-Nov-30 06:30
61009.29166666698,111.05184,9.79669,35.347762,135.3941,17.20780978133,16.4915566278011,2025-Nov-30 07:00
61009.3125,111.0509,9.79669,41.405627,135.4154,17.20792990327,16.4914326304877,2025-Nov-30 07:30
61009.33333333302,111.04996,9.79669,47.261092,135.4366,17.20805002476,16.4913091487528,2025-Nov-30 08:00
61010.25,111.0087,9.79655,23.773092,136.3589,17.21333494018,16.4861249376516,2025-Dec-01 06:00
61010.27083333302,111.00775,9.79655,30.017824,136.3801,17.21345504239,16.4860048760367,2025-Dec-01 06:30
61010.29166666698,111.00679,9.79655,36.186559,136.4013,17.21357514415,16.4858852131933,2025-Dec-01 07:00
61010.3125,111.00584,9.79656,42.222011,136.4226,17.21369524547,16.485766015372,2025-Dec-01 07:30
61010.33333333302,111.00488,9.79656,48.041709,136.4438,17.21381534635,16.4856473425361,2025-Dec-01 08:00
61011.25,110.96297,9.79666,24.63221,137.3651,17.21909935523,16.4806733929975,2025-Dec-02 06:00
61011.27083333302,110.962,9.79667,30.869317,137.3863,17.21921943683,16.4805581866365,2025-Dec-02 06:30
61011.29166666698,110.96103,9.79667,37.023612,137.4075,17.21933951799,16.4804433900137,2025-Dec-02 07:00
61011.3125,110.96006,9.79668,43.03512,137.4288,17.21945959872,16.480329068582,2025-Dec-02 07:30
61011.33333333302,110.95909,9.79669,48.816719,137.45,17.219579679,16.480215281359,2025-Dec-02 08:00
61012.25,110.91654,9.79703,25.491338,138.3702,17.22486278185,16.4754548727036,2025-Dec-03 06:00
61012.27083333302,110.91556,9.79704,31.719992,138.3914,17.22498284286,16.4753445966698,2025-Dec-03 06:30
61012.29166666698,110.91457,9.79705,37.858732,138.4126,17.22510290344,16.4752347412115,2025-Dec-03 07:00
61012.3125,110.91359,9.79707,43.844679,138.4338,17.22522296357,16.4751253709628,2025-Dec-03 07:30
61012.33333333302,110.9126,9.79708,49.585698,138.455,17.22534302327,16.4750165439759,2025-Dec-03 08:00
61013.22916666698,110.87042,9.79764,20.081516,139.3529,17.23050517974,16.4705785164349,2025-Dec-04 05:30
61013.25,110.86943,9.79766,26.350362,139.374,17.23062522062,16.4704728827062,2025-Dec-04 06:00
61013.27083333302,110.86843,9.79767,32.569706,139.3951,17.23074526106,16.4703676108561,2025-Dec-04 06:30
61013.29166666698,110.86743,9.79769,38.691722,139.4163,17.23086530106,16.4702627703075,2025-Dec-04 07:00
61013.3125,110.86643,9.79771,44.650397,139.4375,17.23098534062,16.4701584248544,2025-Dec-04 07:30
61014.22916666698,110.82265,9.79852,20.944702,140.3552,17.2362666518,16.4658314626728,2025-Dec-05 05:30
61014.25,110.82164,9.79854,27.209167,140.3763,17.23638667211,16.4657308954688,2025-Dec-05 06:00
61014.27083333302,110.82063,9.79857,33.41831,140.3974,17.23650669199,16.4656307014797,2025-Dec-05 06:30
61014.29166666698,110.81962,9.79859,39.522375,140.4185,17.23662671143,16.4655309494244,2025-Dec-05 07:00
61014.3125,110.81861,9.79861,45.451966,140.4396,17.23674673043,16.4654317022358,2025-Dec-05 07:30
61015.22916666698,110.77423,9.79966,21.808273,141.3558,17.24202713716,16.4613278234333,2025-Dec-06 05:30
61015.25,110.77321,9.79969,28.067634,141.3768,17.24214713692,16.4612323971864,2025-Dec-06 06:00
61015.27083333302,110.77218,9.79972,34.26565,141.3979,17.24226713625,16.4611373554306,2025-Dec-06 06:30
61015.29166666698,110.77116,9.79975,40.350472,141.419,17.24238713513,16.4610427661582,2025-Dec-06 07:00
61015.3125,110.77013,9.79978,46.249058,141.4401,17.24250713358,16.46094869142,2025-Dec-06 07:30
61016.22916666698,110.72517,9.80106,22.672126,142.3544,17.24778663639,16.4570711303143,2025-Dec-07 05:30
61016.25,110.72413,9.8011,28.92564,142.3754,17.24790661561,16.4569809206021,2025-Dec-07 06:00
61016.27083333302,110.7231,9.80113,35.111563,142.3965,17.2480265944,16.4568911065978,2025-Dec-07 06:30
61016.29166666698,110.72206,9.80117,41.175783,142.4175,17.24814657274,16.4568017555442,2025-Dec-07 07:00
61016.3125,110.72101,9.8012,47.041327,142.4386,17.24826655065,16.4567129285895,2025-Dec-07 07:30
61017.22916666698,110.67549,9.80272,23.536156,143.3509,17.25354515006,16.4530649710338,2025-Dec-08 05:30
61017.25,110.67444,9.80276,29.783055,143.3719,17.25366510875,16.452980054526,2025-Dec-08 06:00
61017.27083333302,110.67339,9.8028,35.955876,143.3929,17.25378506701,16.452895544874,2025-Dec-08 06:30
61017.29166666698,110.67233,9.80284,41.998063,143.4139,17.25390502483,16.4528115085484,2025-Dec-08 07:00
61017.3125,110.67128,9.80288,47.828401,143.4349,17.25402498221,16.4527280057738,2025-Dec-08 07:30
61018.22916666698,110.62519,9.80465,24.400251,144.3449,17.25930267874,16.4493129765676,2025-Dec-09 05:30
61018.25,110.62413,9.80469,30.639744,144.3659,17.25942261692,16.449233430564,2025-Dec-09 06:00
61018.27083333302,110.62307,9.80474,36.798409,144.3868,17.25954255467,16.4491543024791,2025-Dec-09 06:30
61018.29166666698,110.622,9.80478,42.817051,144.4077,17.25966249197,16.4490756579886,2025-Dec-09 07:00
61018.3125,110.62094,9.80483,48.609881,144.4287,17.25978242883,16.4489975563733,2025-Dec-09 07:30
61019.22916666698,110.57431,9.80683,25.264298,145.3362,17.26505922301,16.4458187934472,2025-Dec-10 05:30
61019.25,110.57324,9.80688,31.495564,145.3571,17.26517914068,16.4457446952171,2025-Dec-10 06:00
61019.27083333302,110.57216,9.80693,37.638971,145.3779,17.26529905792,16.4456710258658,2025-Dec-10 06:30
61019.29166666698,110.57108,9.80698,43.63247,145.3988,17.26541897472,16.4455978502521,2025-Dec-10 07:00
61019.3125,110.57,9.80703,49.385345,145.4197,17.26553889108,16.4455252266923,2025-Dec-10 07:30
61020.22916666698,110.52285,9.80928,26.128181,146.3244,17.27081478341,16.4425860513875,2025-Dec-11 05:30
61020.25,110.52177,9.80933,32.350369,146.3451,17.2709346806,16.4425174775066,2025-Dec-11 06:00
61020.27083333302,110.52068,9.80939,38.47736,146.3659,17.27105457734,16.4424493433455,2025-Dec-11 06:30
61020.29166666698,110.51959,9.80944,44.444027,146.3868,17.27117447365,16.4423817129242,2025-Dec-11 07:00
61020.3125,110.5185,9.8095,50.154342,146.4076,17.27129436952,16.4423146435745,2025-Dec-11 07:30
61021.20833333302,110.47193,9.81192,20.725897,147.2883,17.27644948339,16.4396816895028,2025-Dec-12 05:00
61021.22916666698,110.47084,9.81198,26.991778,147.309,17.27656936053,16.4396183337752,2025-Dec-12 05:30
61021.25,110.46974,9.81204,33.204006,147.3297,17.27668923723,16.4395553595713,2025-Dec-12 06:00
61021.27083333302,110.46864,9.8121,39.313368,147.3504,17.2768091135,16.4394928357958,2025-Dec-12 06:30
61021.29166666698,110.46754,9.81217,45.251413,147.3711,17.27692898933,16.4394308256082,2025-Dec-12 07:00
61022.20833333302,110.41939,9.81488,21.593991,148.269,17.28220309825,16.4369768480643,2025-Dec-13 05:00
61022.22916666698,110.41828,9.81495,27.854967,148.2896,17.28232295492,16.4369191543881,2025-Dec-13 05:30
61022.25,110.41717,9.81502,34.056316,148.3103,17.28244281115,16.4368618535269,2025-Dec-13 06:00
61022.27083333302,110.41606,9.81508,40.146772,148.3309,17.28256266695,16.4368050136596,2025-Dec-13 06:30
61022.29166666698,110.41495,9.81515,46.0543,148.3515,17.28268252231,16.4367486970637,2025-Dec-13 07:00
61023.20833333302,110.36632,9.8181,22.462288,149.2453,17.28795573093,16.4345439002616,2025-Dec-14 05:00
61023.22916666698,110.36521,9.81818,28.71762,149.2658,17.28807556714,16.4344919404739,2025-Dec-14 05:30
61023.25,110.36409,9.81825,34.907133,149.2863,17.28819540292,16.4344403846637,2025-Dec-14 06:00
61023.27083333302,110.36296,9.81832,40.977341,149.3069,17.28831523826,16.4343893002614,2025-Dec-14 06:30
61023.29166666698,110.36184,9.81839,46.85234,149.3274,17.28843507316,16.4343387486415,2025-Dec-14 07:00
61024.20833333302,110.31276,9.82159,23.330679,150.2166,17.293707382,16.4323861768917,2025-Dec-15 05:00
61024.22916666698,110.31163,9.82167,29.579606,150.237,17.29382719776,16.4323400206647,2025-Dec-15 05:30
61024.25,110.3105,9.82174,35.756285,150.2574,17.2939470131,16.4322942794416,2025-Dec-15 06:00
61024.27083333302,110.30937,9.82182,41.804829,150.2778,17.29406682799,16.4322490198815,2025-Dec-15 06:30
61024.29166666698,110.30823,9.8219,47.645163,150.2982,17.29418664245,16.4322043024355,2025-Dec-15 07:00
61025.20833333302,110.25871,9.82533,24.199054,151.1822,17.29945805202,16.4305069011189,2025-Dec-16 05:00
61025.22916666698,110.25757,9.82542,30.440788,151.2025,17.29957784735,16.4304666157852,2025-Dec-16 05:30
61025.25,110.25643,9.8255,36.603591,151.2227,17.29969764225,16.4304267563388,2025-Dec-16 06:00
61025.27083333302,110.25529,9.82558,42.628979,151.243,17.29981743671,16.4303873886452,2025-Dec-16 06:30
61025.29166666698,110.25414,9.82566,48.432377,151.2633,17.29993723073,16.4303485722113,2025-Dec-16 07:00
61026.20833333302,110.20419,9.82934,25.067297,152.1414,17.30520774156,16.4289091804748,2025-Dec-17 05:00
61026.22916666698,110.20305,9.82942,31.301027,152.1616,17.30532751648,16.4288748308637,2025-Dec-17 05:30
61026.25,110.2019,9.82951,37.448862,152.1817,17.30544729095,16.4288409178734,2025-Dec-17 06:00
61026.27083333302,110.20074,9.8296,43.449516,152.2019,17.30556706499,16.4288075065536,2025-Dec-17 06:30
61026.29166666698,110.19959,9.82969,49.213565,152.222,17.30568683859,16.4287746554468,2025-Dec-17 07:00
61027.20833333302,110.14924,9.8336,25.935292,153.0935,17.3109564512,16.4275959988995,2025-Dec-18 05:00
